model	sample_size	rep	mut_count	mean_MAF	median_MAF	sd_MAF	Q1_MAF	Q3_MAF
Emp/Flynn10pct	100	11	70	0.16428571428571428	0.11	0.1272971125572942	0.06	0.24
Emp/Flynn10pct	100	12	84	0.13714285714285715	0.08499999999999999	0.12013618204987836	0.04	0.2125
Emp/Flynn10pct	100	13	89	0.14707865168539325	0.1	0.12334543370689974	0.05	0.20999999999999996
Emp/Flynn10pct	100	14	75	0.14626666666666668	0.07	0.13861060890458887	0.04	0.22
Emp/Flynn10pct	100	15	80	0.13462500000000002	0.08499999999999999	0.11494570815295718	0.05	0.18000000000000002
Emp/Flynn10pct	100	16	78	0.1555128205128205	0.11	0.1216087769805068	0.06999999999999997	0.20750000000000002
Emp/Flynn10pct	100	17	81	0.17444444444444443	0.09	0.15815340653934712	0.040000000000000036	0.3
Emp/Flynn10pct	100	18	89	0.17764044943820226	0.13	0.14419858837972307	0.06	0.29
Emp/Flynn10pct	100	19	86	0.13	0.07	0.11729299663161277	0.04	0.19749999999999995
Emp/Flynn10pct	100	20	77	0.1616883116883117	0.12	0.1258905393105517	0.05	0.26
Emp/Flynn10pct	100	21	55	0.16345454545454546	0.12	0.12014217167232087	0.06999999999999998	0.25
Emp/Flynn10pct	100	22	75	0.14893333333333333	0.09	0.1348429850998213	0.04	0.215
Emp/Flynn10pct	100	23	71	0.1395774647887324	0.07	0.13244337463576444	0.04	0.22
Emp/Flynn10pct	100	24	67	0.12074626865671642	0.08	0.10836684935392567	0.04000000000000002	0.175
Emp/Flynn10pct	100	25	73	0.16136986301369863	0.07	0.15177940012191987	0.040000000000000036	0.28
Emp/Flynn10pct	100	26	80	0.152125	0.08	0.12412421045168084	0.05	0.26
Emp/Flynn10pct	100	27	77	0.1451948051948052	0.08	0.14083968480071296	0.040000000000000036	0.21999999999999997
Emp/Flynn10pct	100	28	78	0.15038461538461537	0.09	0.13630982954420282	0.04	0.2425
Emp/Flynn10pct	100	29	74	0.17162162162162162	0.13	0.14118895361178876	0.06	0.2575
Emp/Flynn10pct	100	30	73	0.12657534246575344	0.06000000000000005	0.12438983499558276	0.04	0.19
Emp/Flynn10pct	100	31	97	0.1327835051546392	0.08	0.12819859486392943	0.04	0.18
Emp/Flynn10pct	100	32	72	0.1525	0.10500000000000001	0.1291876024226718	0.047500000000000014	0.22
Emp/Flynn10pct	100	33	69	0.14521739130434785	0.09	0.12151747266826639	0.05	0.24
Emp/Flynn10pct	100	34	74	0.14891891891891892	0.11	0.11687210627952471	0.042499999999999996	0.22
Emp/Flynn10pct	100	35	68	0.14720588235294116	0.07999999999999999	0.14343177262279544	0.04	0.2
Emp/Flynn10pct	100	36	62	0.1346774193548387	0.08499999999999999	0.11776216295032664	0.042499999999999996	0.20750000000000002
Emp/Flynn10pct	100	37	78	0.15974358974358974	0.08499999999999999	0.15085018248506546	0.05	0.2475
Emp/Flynn10pct	100	38	71	0.15140845070422534	0.1	0.12783131490531782	0.05	0.215
Emp/Flynn10pct	100	39	73	0.14506849315068493	0.09	0.1348159577563184	0.05	0.19
Emp/Flynn10pct	100	40	71	0.17619718309859156	0.15	0.13388018307622357	0.05	0.28
Emp/Flynn10pct	100	41	90	0.14733333333333332	0.07499999999999998	0.1359097519464931	0.04	0.2375
Emp/Flynn10pct	100	42	69	0.1726086956521739	0.11	0.14443248141598736	0.05	0.28
Emp/Flynn10pct	100	43	77	0.14922077922077923	0.12	0.12396695478365269	0.05	0.19
Emp/Flynn10pct	100	44	59	0.14271186440677966	0.09999999999999998	0.1359111082272803	0.04	0.17000000000000004
Emp/Flynn10pct	100	45	80	0.14600000000000002	0.105	0.12898434798577865	0.04	0.1925
Emp/Flynn10pct	100	46	80	0.157375	0.09499999999999999	0.13533590418667663	0.047500000000000014	0.26
Emp/Flynn10pct	100	47	74	0.13864864864864865	0.07999999999999999	0.12864227052284216	0.04	0.1975
Emp/Flynn10pct	100	48	65	0.14415384615384616	0.09	0.12916670802315303	0.04	0.20999999999999996
Emp/Flynn10pct	100	49	60	0.15066666666666667	0.09	0.1293119558312531	0.05	0.2125
Emp/Flynn10pct	100	50	64	0.1246875	0.065	0.12475968963864151	0.04	0.1575
Emp/Flynn10pct	100	51	73	0.14643835616438355	0.07999999999999996	0.1394868558424622	0.04	0.20999999999999996
Emp/Flynn10pct	100	52	89	0.1602247191011236	0.1	0.13820256483682572	0.05	0.26
Emp/Flynn10pct	100	53	66	0.14666666666666667	0.07999999999999999	0.14078170044251906	0.04	0.21749999999999997
Emp/Flynn10pct	100	54	80	0.15325000000000003	0.07	0.15269540292998138	0.04	0.235
Emp/Flynn10pct	100	55	77	0.14116883116883117	0.09	0.11997778331593452	0.05	0.19999999999999996
Emp/Flynn10pct	100	56	81	0.1893827160493827	0.17	0.1444155954096747	0.05	0.31
Emp/Flynn10pct	100	57	68	0.14926470588235294	0.11	0.12470043120095149	0.05	0.21249999999999997
Emp/Flynn10pct	100	58	77	0.15025974025974026	0.1	0.1321878052538372	0.05	0.2
Emp/Flynn10pct	100	59	80	0.170125	0.11499999999999999	0.13324094240952072	0.06	0.2525
Emp/Flynn10pct	100	60	67	0.11761194029850747	0.06000000000000005	0.11059192737593304	0.04	0.17
Emp/Flynn10pct	100	61	84	0.16154761904761905	0.11	0.14269770936957257	0.05	0.2425
Emp/Flynn10pct	100	62	81	0.14456790123456786	0.08	0.13749590341821144	0.04	0.18000000000000005
Emp/Flynn10pct	100	63	86	0.13069767441860466	0.08499999999999999	0.12059451453405551	0.042500000000000024	0.17500000000000002
Emp/Flynn10pct	100	64	58	0.13413793103448277	0.09	0.12099056774543862	0.042500000000000024	0.21000000000000002
Emp/Flynn10pct	100	65	82	0.16134146341463415	0.1	0.14064895618825024	0.042499999999999996	0.245
Emp/Flynn10pct	100	66	68	0.15205882352941177	0.08499999999999999	0.13936485802499343	0.04	0.22999999999999998
Emp/Flynn10pct	100	67	71	0.11901408450704226	0.08	0.10259706107705963	0.05	0.15500000000000003
Emp/Flynn10pct	100	68	51	0.15019607843137256	0.09	0.13744075372433653	0.04500000000000002	0.185
Emp/Flynn10pct	100	69	79	0.17430379746835442	0.09	0.15921025885242404	0.045	0.29500000000000004
Emp/Flynn10pct	100	70	78	0.15320512820512822	0.09	0.13450721594840603	0.05	0.24
Emp/Flynn10pct	100	71	86	0.16348837209302325	0.08	0.14881308799066956	0.05	0.2875
Emp/Flynn10pct	100	72	84	0.15607142857142858	0.11499999999999999	0.127902615977306	0.05	0.22999999999999998
